orgs,urls
厦门大学附属成功医院,http://www.174yy.cn
厦门大学附属福州第二医院,http://www.fzsdeyy.com
厦门大学附属心血管病医院,https://www.xmheart.com
厦门大学附属妇女儿童医院,http://www.xmfybj.cn
细胞应激生物学国家重点实验室,https://sklcsb.xmu.edu.cn/
分子疫苗学和分子诊断学国家重点实验室,http://sklvd.xmu.edu.cn/
国家传染病诊断试剂与疫苗工程技术研究中心,http://nidvd.xmu.edu.cn/
健康医疗大数据国家研究院,https://nidshm.xmu.edu.cn/
生物医学研究院,http://biomed.xmu.edu.cn/
厦大实验动物中心,http://lac.xmu.edu.cn/
细胞生物学协同创新中心,https://iccshr.xmu.edu.cn/
首页,../index.htm
学部院系,#
地球科学与技术学部,dqkxyjsxb.htm
海洋与地球学院,http://coe.xmu.edu.cn/
地质海洋学系,http://dgo.xmu.edu.cn/
近海海洋环境科学国家重点实验室（厦门大学）,https://mel.xmu.edu.cn/
海洋生物制备技术国家地方联合工程实验室,http://coe.xmu.edu.cn/ContentShow.aspx?Id=P29
水声通信与海洋信息技术教育部重点实验室,https://uac.xmu.edu.cn/
海洋环境科学实验教学中心,http://coeetc.xmu.edu.cn/
福建省海洋生物资源开发利用协同创新中心,http://mbio2011.xmu.edu.cn/
福建省高校海洋生物资源开发与保护重点实验室,http://mbr.xmu.edu.cn/
厦门大学海洋生物多样性与全球变化实验室,http://mbigc.xmu.edu.cn/
厦门大学海洋微型生物与地球圈层研究所,https://ime.xmu.edu.cn/
厦门大学海洋科学综合考察船,https://ships.xmu.edu.cn/
环境与生态学院,https://cee.xmu.edu.cn/
环境科学系,https://cee.xmu.edu.cn/
生态学系,https://cee.xmu.edu.cn/
环境与生态工程系,https://cee.xmu.edu.cn/
近海海洋环境科学国家重点实验室,https://mel.xmu.edu.cn/
滨海湿地生态系统教育部重点实验室,https://wel.xmu.edu.cn/
福建省海陆界面生态环境重点实验室,https://cees.xmu.edu.cn/
海洋与海岸带发展研究院,http://comi.xmu.edu.cn/
厦门海岸带可持续发展国际培训中心,http://icsd.xmu.edu.cn/
近海海洋环境科学国家重点实验室,https://mel.xmu.edu.cn/
科考船运行管理中心,https://ships.xmu.edu.cn/
